mime
"root"
"application/vnd.google-apps.folder"
"application/epub+zip"
"application/font-woff"
"application/java"
"application/java-archive"
"application/json"
"application/octet-stream"
"application/pdf"
"application/vnd.ms-excel"
"application/vnd.ms-htmlhelp"
"application/vnd.oasis.opendocument.spreadsheet"
"application/vnd.openxmlformats-officedocument.presentationml.presentation"
"application/vnd.openxmlformats-officedocument.wordprocessingml.document"
"application/vnd.palm"
"application/vsix"
"application/x-bittorrent"
"application/x-compressed"
"application/x-font-ttf"
"application/x-gzip"
"application/x-maker"
"application/x-msdos-program"
"application/x-msdownload"
"application/x-msi"
"application/x-perl"
"application/x-pkcs12"
"application/x-sharedlib"
"application/x-shellscript"
"application/x-shockwave-flash"
"application/x-zip"
"application/x-zip-compressed"
"application/xaml+xml"
"application/xml"
"audio/mpeg"
"audio/ogg"
"audio/wav"
"image/bmp"
"image/gif"
"image/jpeg"
"image/png"
"image/rw2"
"image/svg+xml"
"image/x-icon"
"image/x-photoshop"
"multipart/related"
"text/css"
"text/csv"
"text/html"
"text/javascript"
"text/markdown"
"text/plain"
"text/x-sql"
"text/x-url"
"text/xml"
"video/avi"
"video/flv"
"video/x-ms-wmv"
